,address_code,lat,lon,Senate_District,Assembly_District,County,Zip_Code,Website,Name,Legislation,Phone,Address,Membership Status
0,24%20aviation%20rd%20%23101%2C%20albany%2C%20ny%2012205,42.7156256,-73.8029548,43.0,110.0,Albany County,12205.0,https://legalproject.org/,The Legal Project,['Statewide Right to Counsel'],518-435-1770,"24 Aviation Rd #101, Albany, NY 12205",['Endorser']
1,31%20w%20church%20st%2C%20fairport%2C%20ny%2014450,43.09848876470589,-77.44356035294118,55.0,135.0,Monroe County,14450.0,https://fairportumc.org/,Fairport United Methodist Church,['Statewide Right to Counsel'],585-223-9560,"31 W Church St, Fairport, NY 14450",['Supporter']
2,727%20classon%20ave%2C%20brooklyn%2C%20ny%2011238,40.6751107,-73.9598562,20.0,57.0,Kings County,11238.0,www.crownheightstenantunion.org,Crown Heights Tenant Union,"['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']",212-479-3358,"727 Classon Ave, Brooklyn, NY 11238",['Coalition Member']
3,new%20york%2C%20ny,,,,,,,,NY Council of Housing Development Fund Companies,['Winter Eviction Moratorium'],,"New York, NY",['Endorser']
4,1845%20wantagh%20ave%2C%20wantagh%2C%20ny%2011793,40.67625542755695,-73.50971336370301,5.0,14.0,Nassau County,11793.0,https://wmcc1845.com/,Wantagh Memorial Congregational Church,['Statewide Right to Counsel'],516-785-1829,"1845 Wantagh Ave, Wantagh, NY 11793",['Supporter']
5,460%20irving%20ave%2C%20brooklyn%2C%20ny%2011237,40.6958048,-73.9089887,18.0,54.0,Kings County,11237.0,https://www.facebook.com/LifehouseNY/,LIFEhouse Community of Faith,['Statewide Right to Counsel'],,"460 Irving Ave, Brooklyn, NY 11237",['Supporter']
6,336%20central%20park%20ave%2C%20white%20plains%2C%20ny%2010530,41.0320025625,-73.7866451875,37.0,93.0,Westchester County,10606.0,www.uwwp.org,United Way of Westchester and Putnam,['Statewide Right to Counsel'],914-997-6700,"336 Central Park Ave, White Plains, NY 10530",['Endorser']
7,100%20broadway%2C%2010th%20floor%2C%20new%20york%2C%20ny%2010005,40.7080664,-74.0112859,27.0,61.0,New York County,10005.0,https://www.herjustice.org/,Her Justice,['Statewide Right to Counsel'],212-695-3800,"100 Broadway, 10th floor, New York, NY 10005",['Endorser']
8,69%20state%20st%2C%20albany%2C%20ny%2C%20usa,42.6498206,-73.7520531,46.0,109.0,Albany County,12207.0,https://www.vocal-ny.org/chapter/albany/,VOCAL-NY - Albany,['Statewide Right to Counsel'],718-802-9540,"69 State St, Albany, NY, USA",['Endorser']
9,475%20ny-304%20suite%201%2C%20new%20city%2C%20ny%2010956,41.1771445545172,-73.9595031732678,38.0,96.0,Rockland County,10956.0,www.rhachomes.org,"Rockland Housing Action Coalition, Inc.","['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']",845-708-5799,"475 NY-304 Suite 1, New City, NY 10956",['Endorser']
