,Website,Name,Legislation,Address,Membership Status,lat,lon,Phone,Senate_District,Assembly_District,County,Zip_Code
0,,NY Council of Housing Development Fund Companies,['Winter Eviction Moratorium'],"New York, NY",['Endorser'],,,,,,,
1,https://www.facebook.com/profile.php?id=100064544210388,Solidarity Committee of the Capital District,"['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']","Albany, New York",['Campaign Member'],,,,,,,
2,https://capitaldistrictdsa.org/,Capital District Democratic Socialists of America,"['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']",P.O. Box 3821 · Albany NY 12203,['Campaign Member'],,,,,,,
3,https://www.instagram.com/astoriatenantunion/?hl=en,Astoria Tenants Union,"['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']","Astoria, New York",['Campaign Member'],,,,,,,
4,"https://utalbany.org/housing-for-all/#:~:text=Housing%20for%20All%20is%20a,in%20the%20City%20of%20Albany.",Housing for All Albany,['Statewide Right to Counsel'],"Albany, NY",['Endorser'],,,,,,,
5,https://antievictionmap.com/?category=New+York+City,Anti-Eviction Mapping Project,['Statewide Right to Counsel'],,['Endorser'],,,,,,,
6,https://www.facebook.com/p/WE-ARE-Revolutionary-100088280496001/,We Are Revolutionary,"['Statewide Right to Counsel', 'Clean Hands', 'Defend Right to Counsel', 'Winter Eviction Moratorium']","Albany, NY",['Campaign Member'],,,838-217-0254,,,,
7,https://www.syracusetenantsunion.com/about,Syracuse Tenant Union,"['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']","Syracuse, New York",['Campaign Member'],,,315-308-0130,,,,
8,https://www.instagram.com/rtcwestchester/?hl=en,Westchester Right to Counsel Coalition,['Statewide Right to Counsel'],"Westchester, NY",['Endorser'],,,,,,,
9,https://www.ridgewoodtenantsunion.org/,Ridgewood Tenants Union,"['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']","Ridgewood, Queens, NY",['Coalition Member'],,,732-835-2344,,,,
10,https://www.vocal-ny.org/chapter/syracuse/,VOCAL-NY - Syracuse,['Statewide Right to Counsel'],"Syracuse, NY, USA",['Endorser'],,,718-802-9540,,,,
11,https://longislandactivists.org/,Long Island Activists,"['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']","Long Island, NY",['Campaign Member'],,,,,,,
12,https://buffalo-dsa.org/,Buffalo Democratic Socialists of America,['Statewide Right to Counsel'],"Buffalo, NY",['Endorser'],,,,,,,
13,https://mcah.squarespace.com/,Mamaroneck Coalition for Affordable Housing,"['Winter Eviction Moratorium', 'Statewide Right to Counsel']","Mamaroneck, NY",['Endorser'],,,,,,,
14,https://www.lhvdsa.org/,Lower Hudson Valley Democratic Socialists of America,['Statewide Right to Counsel'],"Yonkers, NY",['Endorser'],,,,,,,
15,https://housingjusticeforall.org/,Housing Justice for All,['Statewide Right to Counsel'],"New York, NY",['Endorser'],,,,,,,
16,https://nylscoalition.org/,New York Legal Services Coalition,['Statewide Right to Counsel'],"New York, NY",['Endorser'],,,315-572-0373 ,,,,
17,https://www.vocal-ny.org/chapter/buffalo/,VOCAL-NY - Buffalo,['Statewide Right to Counsel'],"Buffalo, NY, USA",['Endorser'],,,718-802-9540,,,,
18,http://civilrighttocounsel.org/about,National Coalition for a Civil Right to Counsel,['Statewide Right to Counsel'],,['Endorser'],,,,,,,
19,https://syracusedsa.org/contact/,Syracuse Democratic Socialists of America,['Winter Eviction Moratorium'],"Syracuse, NY",['Endorser'],,,,,,,
20,https://housingcourtanswers.org/,Housing Court Answers,"['Clean Hands', 'Statewide Right to Counsel', 'Defend Right to Counsel', 'Winter Eviction Moratorium']","New York, New York",['Coalition Member'],,,212-962-4795,,,,
